decili1_4,1,1
decili1_4,2,2
decili1_4,3,3
decili1_4,4,4
decili1_4,5,5
decili1_4,6,6
decili1_4,7,7
decili1_4,8,8
decili1_4,9,9
decili1_4,10,10
decili_1_2,1,1
decili_1_2,2,2
decili_1_2,3,3
decili_1_2,4,4
decili_1_2,5,5
decili_1_2,6,6
decili_1_2,7,7
decili_1_2,8,8
decili_1_2,9,9
decili_1_2,10,10
WMS_D1,1,Yes
WMS_D1,2,No
WMS_D1_6,1,Yes
WMS_D1_6,2,No
WMS_G10,1,Yes
WMS_G10,2,No
TB_Reg,1,Tbilisi
TB_Reg,2,Region
Urban_Rural,1,Urban
Urban_Rural,2,Rural
Region,1,Tbilisi
Region,2,Achara
Region,3,Guria
Region,4,Imereti
Region,5,Kakheti
Region,6,Mtckheta-mtianeti
Region,7,qvemo qartli
Region,8,Samtckhe-javakheti
Region,9,Samegrelo
Region,10,Sida qartli
Region,11,Racha-lechkhumi
Raion,1,Vake
Raion,2,Saburtalo
Raion,3,Krtsanisi
Raion,4,Didube
Raion,5,Chugureti
Raion,6,Isani
Raion,7,Samgori
Raion,8,Gldani
Raion,9,Nadzaladevi
Raion,10,Batumi
Raion,11,Qeda
Raion,12,Qobuleti
Raion,13,Shuakhevi
Raion,14,KHelvacauri
Raion,15,Khulo
Raion,16,Chokhatauri
Raion,17,Lanckhuti
Raion,18,Ozurgeti
Raion,19,Ambrolauri
Raion,20,Bagdati
Raion,21,Cageri
Raion,22,Oni
Raion,23,Qutaisi
Raion,24,Sackhere
Raion,25,Samtredia
Raion,26,Terjola
Raion,27,Tkibuli
Raion,28,Vani
Raion,29,Chiatura
Raion,30,Tckaltubo
Raion,31,Kharagauli
Raion,32,Khoni
Raion,33,Zestafoni
Raion,34,Akhmeta
Raion,35,Dedoflischkaro
Raion,36,Gurjaani
Raion,37,Lagodekhi
Raion,38,Sagarejo
Raion,39,Signagi
Raion,40,Telavi
Raion,41,Kvareli
Raion,42,Mckheta
Raion,43,Dusheti
Raion,44,Tianeti
Raion,45,Bolnisi
Raion,46,Dmanisi
Raion,47,Gardabani
Raion,48,Marneuli
Raion,49,Rustavi
Raion,50,Tetrichkaro
Raion,51,Tcalka
Raion,52,Adigeni
Raion,53,Aspinza
Raion,54,Akhaltcikhe
Raion,55,Akhalqalaqi
Raion,56,Borjomi
Raion,57,Ninotcminda
Raion,58,Abasha
Raion,59,Chkhorotcku
Raion,60,Foti
Raion,61,Martvili
Raion,62,Senaki
Raion,63,Khobi
Raion,64,Zugdidi
Raion,65,Gori
Raion,66,Kaspi
Raion,67,Qareli
Raion,68,Khasuri
Raion,69,Didgori
Raion,70,IDPs settlement
Sakrebulo,1,"Qobuleti, chaqvi"
Sakrebulo,2,"Qobuleti, dagva"
Sakrebulo,3,"Qobuleti, dagva"
Sakrebulo,4,"Qobuleti, ochkhamuri"
Sakrebulo,5,"Qobuleti, khutcubani"
Sakrebulo,6,Khelvachauri gonio
