[1] "_merge || 1 || master only (1)"
[1] "_merge || 2 || using only (2)"
[1] "_merge || 3 || matched (3)"
[1] "_merge || 4 || missing updated (4)"
[1] "_merge || 5 || nonmissing conflict (5)"
[1] "reg || 1 || Tbilisi"
[1] "reg || 2 || Achara"
[1] "reg || 3 || Guria"
[1] "reg || 4 || ImereTi, Racha"
[1] "reg || 5 || Kakheti"
[1] "reg || 6 || Mtskheta-mtianeti"
[1] "reg || 7 || Qvemo qartli"
[1] "reg || 8 || Samtskhe-javakheti"
[1] "reg || 9 || Samegrelo"
[1] "reg || 10 || Sida qartli"
[1] "UR || 1 || Urban"
[1] "UR || 2 || Rural"
[1] "mount || 0 || Lowland"
[1] "mount || 1 || Mountain"
[1] "COMPLET || 1 || Fully"
[1] "COMPLET || 2 || Partly"
[1] "regioni || 1 || Tbilisi"
[1] "regioni || 2 || Achara"
[1] "regioni || 3 || Guria"
[1] "regioni || 4 || ImereTi, Racha"
[1] "regioni || 5 || Kakheti"
[1] "regioni || 6 || Mtskheta-mtianeti"
[1] "regioni || 7 || Qvemo qartli"
[1] "regioni || 8 || Samtskhe-javakheti"
[1] "regioni || 9 || Samegrelo"
[1] "regioni || 10 || Sida qartli"
[1] "raioni || 1 || vake"
[1] "raioni || 2 || saburtalo"
[1] "raioni || 3 || mtatsminda"
[1] "raioni || 4 || krtsanisi"
[1] "raioni || 5 || didube"
[1] "raioni || 6 || chugureti"
[1] "raioni || 7 || isani"
[1] "raioni || 8 || samgori"
[1] "raioni || 9 || gldani"
[1] "raioni || 10 || nadzladevi"
[1] "raioni || 11 || Batumi"
[1] "raioni || 12 || qeda"
[1] "raioni || 13 || qobuleti"
[1] "raioni || 14 || shuakhevi"
[1] "raioni || 15 || khelvachauri"
[1] "raioni || 16 || khulo"
[1] "raioni || 17 || chokhatauri"
[1] "raioni || 18 || lanchkhuti"
[1] "raioni || 19 || ozurgeti"
[1] "raioni || 20 || ambrolauri"
[1] "raioni || 21 || bagdati"
[1] "raioni || 22 || tsageri"
[1] "raioni || 23 || lentekhi"
[1] "raioni || 24 || mestia"
[1] "raioni || 25 || oni"
[1] "raioni || 26 || qutaisi"
[1] "raioni || 27 || sachkhere"
[1] "raioni || 28 || samtredia"
[1] "raioni || 29 || terjola"
[1] "raioni || 30 || tkibuli"
[1] "raioni || 31 || vani"
[1] "raioni || 32 || chiatura"
[1] "raioni || 33 || tskaltubo"
[1] "raioni || 34 || kharagauli"
[1] "raioni || 35 || khoni"
[1] "raioni || 36 || zestaponi"
[1] "raioni || 37 || ahxmeta"
[1] "raioni || 38 || dedoplistskaro"
[1] "raioni || 39 || gurjaani"
[1] "raioni || 40 || lagodekhi"
[1] "raioni || 41 || sagarejo"
[1] "raioni || 42 || signagi"
